index,t,pair_mae,dest_mae,dest_ssim,luma
0,0.0,0.000000,56.128532,0.100022,64.1561
1,0.0417,6.534727,56.271967,0.100684,64.3723
2,0.0833,7.861111,56.436923,0.105330,65.5508
3,0.125,8.050580,56.498853,0.108398,64.6580
4,0.1667,9.244673,56.966550,0.106166,64.6968
5,0.2083,8.862976,57.322649,0.099326,64.1730
6,0.25,8.982985,57.751431,0.101435,64.1611
7,0.2917,9.077154,57.959374,0.107062,62.7099
8,0.3333,9.570560,58.374701,0.110401,62.2814
9,0.375,9.735627,58.823255,0.109124,61.6245
10,0.4167,10.316453,59.030953,0.109730,62.3640
11,0.4583,10.975211,58.913358,0.109155,61.4453
12,0.5,11.586928,59.243321,0.108233,61.5399
13,0.5417,11.877286,59.347521,0.104171,61.1256
14,0.5833,12.600096,59.454947,0.103775,61.4029
15,0.625,13.181533,59.063962,0.100550,60.0816
16,0.6667,13.461288,59.150614,0.100440,59.8855
17,0.7083,13.558331,59.153665,0.102089,59.0861
18,0.75,13.807387,59.423380,0.096952,60.5122
19,0.7917,14.125166,59.420212,0.104998,59.3892
20,0.8333,14.551971,59.631874,0.109054,59.9805
21,0.875,14.850546,59.853550,0.096532,60.3936
22,0.9167,15.652473,59.939201,0.093642,61.6437
23,0.9583,16.115671,59.351308,0.100420,60.7001
24,1.0,16.146517,58.941719,0.113643,60.5055
25,1.0417,15.989185,58.830654,0.109881,60.1750
26,1.0833,16.411270,58.539880,0.104858,61.7946
27,1.125,16.622644,58.219442,0.117079,60.2299
28,1.1667,16.907257,57.979216,0.118309,61.0944
29,1.2083,17.201298,57.657048,0.125471,61.2241
30,1.25,18.142788,56.715156,0.123315,61.9669
31,1.2917,18.495045,55.832413,0.137161,61.1559
32,1.3333,18.440723,55.165046,0.128387,60.4316
33,1.375,17.612373,54.319595,0.137655,59.5720
34,1.4167,17.528353,53.841113,0.142076,61.6095
35,1.4583,17.595755,53.857067,0.128600,60.5586
36,1.5,17.553873,53.860378,0.128301,61.5183
37,1.5417,17.592819,54.250523,0.132018,62.1155
38,1.5833,18.220872,54.437230,0.122438,63.3299
39,1.625,18.356250,54.283013,0.119198,62.5749
40,1.6667,18.410261,54.115179,0.111208,62.2852
41,1.7083,17.306528,53.213306,0.124736,61.3541
42,1.75,17.255595,53.080428,0.112543,63.1572
43,1.7917,17.134368,52.265842,0.124041,61.7684
44,1.8333,16.778069,52.067834,0.115870,61.8818
45,1.875,15.471138,51.409093,0.115725,61.3640
46,1.9167,15.201423,50.866518,0.120262,61.9137
47,1.9583,14.723804,50.645305,0.108775,60.9738
48,2.0,14.666677,50.122225,0.109292,60.8185
49,2.0417,13.638361,49.771806,0.129166,60.8084
50,2.0833,13.587534,49.505813,0.129444,62.2926
51,2.125,13.360781,49.175869,0.128192,61.6615
52,2.1667,13.371783,49.222573,0.131827,62.4150
53,2.2083,12.854913,49.316994,0.127985,62.9887
54,2.25,13.111415,49.289230,0.116671,64.2361
55,2.2917,13.082850,49.370919,0.117970,64.1642
56,2.3333,13.377208,49.264144,0.121574,64.8133
57,2.375,12.888488,49.088348,0.121888,65.2145
58,2.4167,12.679963,49.053173,0.138901,66.8720
59,2.4583,12.640577,48.792881,0.132248,66.1459
60,2.5,12.569208,48.537063,0.124291,66.3610
61,2.5417,11.970069,48.214045,0.116313,66.1829
62,2.5833,11.922477,47.336309,0.128798,66.1080
63,2.625,11.864443,46.409902,0.128103,64.6102
64,2.6667,11.645526,45.650772,0.125381,63.9618
65,2.7083,11.417439,44.909160,0.128035,63.2492
66,2.75,11.247670,44.418258,0.136754,63.6515
67,2.7917,11.108994,43.973346,0.130275,62.7002
68,2.8333,10.991734,43.302996,0.132448,62.9581
69,2.875,10.671780,43.055878,0.134272,63.0750
70,2.9167,10.884036,42.843846,0.138307,63.9248
71,2.9583,11.034462,43.025983,0.119576,63.4328
