index,t,pair_mae,dest_mae,dest_ssim,luma
0,0.0,0.000000,62.200277,0.060512,49.8131
1,0.0417,11.610049,62.047120,0.055587,52.6294
2,0.0833,13.508046,60.673139,0.070414,57.4972
3,0.125,13.152154,60.233855,0.063989,59.1605
4,0.1667,13.544954,59.705485,0.071596,62.3963
5,0.2083,13.346384,58.171637,0.081156,65.0397
6,0.25,13.273473,57.404749,0.079640,67.5944
7,0.2917,12.568888,56.656589,0.093506,68.6242
8,0.3333,12.683036,56.530921,0.098341,70.7720
9,0.375,12.771395,56.689680,0.104439,72.1256
10,0.4167,13.631657,56.440025,0.097026,76.6144
11,0.4583,13.506924,56.716424,0.101380,77.8062
12,0.5,14.060252,56.269820,0.097715,80.3884
13,0.5417,14.110137,55.465427,0.116829,82.4840
14,0.5833,14.312132,55.457315,0.100860,84.4322
15,0.625,14.159547,55.151747,0.091713,85.5956
16,0.6667,14.344852,55.516732,0.086758,86.6898
17,0.7083,14.914476,54.766776,0.096915,88.1504
18,0.75,15.515782,54.569562,0.090214,91.3815
19,0.7917,15.063046,54.474457,0.094378,90.7600
20,0.8333,15.282863,54.738826,0.094116,92.3056
21,0.875,15.395604,54.684952,0.102280,94.2383
22,0.9167,15.306576,55.015348,0.104326,95.2848
23,0.9583,15.509054,54.954650,0.091094,94.6858
24,1.0,16.584639,55.110299,0.090660,93.9445
25,1.0417,16.893186,54.894144,0.088579,94.0190
26,1.0833,17.267873,54.242385,0.084293,94.3194
27,1.125,17.675567,52.931422,0.087762,91.9636
28,1.1667,17.652436,53.171165,0.082194,92.0653
29,1.2083,17.694463,53.308527,0.093791,93.9758
30,1.25,18.380764,53.272468,0.095522,94.0748
31,1.2917,19.081388,52.003856,0.077881,92.2136
32,1.3333,19.569677,50.952444,0.093527,90.7268
33,1.375,19.297006,50.651710,0.093816,91.0423
34,1.4167,19.419732,50.435216,0.109839,91.1728
35,1.4583,20.374833,48.718074,0.091718,88.2388
36,1.5,20.867345,49.175556,0.075699,89.0370
37,1.5417,18.556647,49.154159,0.106730,89.9973
38,1.5833,18.150645,49.358521,0.082071,89.7055
39,1.625,18.843144,47.711910,0.110407,83.6555
40,1.6667,18.713114,47.376026,0.113616,78.5141
41,1.7083,18.109545,47.650290,0.111419,76.0889
42,1.75,19.566494,50.104597,0.100438,76.0099
43,1.7917,19.573368,51.761618,0.129687,74.4420
44,1.8333,20.613544,54.594606,0.127792,75.5648
45,1.875,18.825478,55.085800,0.115182,79.9854
46,1.9167,19.122366,57.264542,0.110901,83.7661
47,1.9583,19.419708,57.947663,0.111754,84.6776
48,2.0,17.877245,56.914967,0.096963,87.1263
49,2.0417,16.840254,53.355660,0.118293,88.2741
50,2.0833,15.653138,52.258276,0.111286,88.3858
51,2.125,16.410062,52.161414,0.098221,83.9247
52,2.1667,16.943499,50.222520,0.124483,81.0019
53,2.2083,17.373911,50.179613,0.097500,77.8411
54,2.25,17.296063,50.581180,0.095420,77.4660
55,2.2917,16.298436,49.545071,0.103314,78.6077
56,2.3333,16.019625,49.050922,0.097804,79.9374
57,2.375,16.123841,48.511641,0.093353,81.1466
58,2.4167,15.918713,48.833508,0.071717,82.0818
59,2.4583,14.963369,47.108621,0.079755,79.0051
60,2.5,15.371087,46.213061,0.086185,77.2504
61,2.5417,14.995653,44.473904,0.107203,75.3606
62,2.5833,14.903793,42.929373,0.096295,72.7134
63,2.625,15.094974,41.830676,0.092944,68.4376
64,2.6667,14.793609,41.139014,0.101314,64.5688
65,2.7083,14.303120,40.939424,0.098903,62.2751
66,2.75,15.173676,41.833741,0.092193,60.2109
67,2.7917,15.877783,43.744622,0.095432,55.8353
68,2.8333,15.253537,46.111531,0.123313,55.0603
69,2.875,13.907336,47.916314,0.125196,56.3684
70,2.9167,15.033177,49.983822,0.108735,59.1563
71,2.9583,14.828154,50.900243,0.126235,58.2815
72,3.0,15.437145,53.402994,0.097024,59.7700
73,3.0417,16.422115,52.165946,0.128597,60.8295
74,3.0833,16.840359,53.198859,0.112530,65.9783
75,3.125,15.307200,54.354164,0.110991,68.0176
76,3.1667,16.408730,55.716951,0.078195,71.8470
77,3.2083,16.391829,53.566387,0.095761,74.3216
78,3.25,15.537041,53.397559,0.078872,77.5155
79,3.2917,16.656441,51.698815,0.090702,79.6053
80,3.3333,17.140923,50.721562,0.091819,80.8792
81,3.375,17.861145,49.567617,0.078497,81.0719
82,3.4167,19.107284,47.779047,0.090906,82.4249
83,3.4583,18.102624,46.303945,0.077957,80.3903
84,3.5,20.322536,46.937826,0.081998,80.6829
85,3.5417,19.019100,45.720319,0.085962,79.8036
86,3.5833,18.966805,46.447180,0.065810,78.3208
87,3.625,19.678047,45.403731,0.080454,72.9774
88,3.6667,18.484962,44.948389,0.098005,66.7258
89,3.7083,16.815043,43.170549,0.098857,63.2961
90,3.75,15.217285,44.498423,0.102467,62.9682
91,3.7917,14.535067,46.186033,0.108775,61.5341
92,3.8333,14.242460,47.913121,0.108579,64.1682
93,3.875,14.449272,48.927029,0.112733,67.6495
94,3.9167,16.236965,50.405509,0.116274,71.7901
95,3.9583,16.979167,51.467518,0.119876,72.6717
96,4.0,18.035218,52.785004,0.119391,73.7791
97,4.0417,19.572230,52.795799,0.114081,78.0572
98,4.0833,22.565160,54.733955,0.110848,85.7868
99,4.125,19.548504,53.869390,0.110958,87.4425
100,4.1667,18.948948,52.513722,0.122116,90.0079
101,4.2083,19.810056,53.072405,0.098211,92.2468
102,4.25,19.589941,53.556681,0.095165,93.6900
103,4.2917,18.817314,50.695455,0.109472,94.1706
104,4.3333,16.594262,50.700426,0.094594,93.9575
105,4.375,18.364865,48.263046,0.091881,90.0486
106,4.4167,18.259098,48.720536,0.081277,89.3810
107,4.4583,18.098836,46.614014,0.097271,82.1958
108,4.5,20.185043,46.382595,0.093535,73.3176
109,4.5417,19.184221,45.299005,0.081606,65.8957
110,4.5833,21.780062,45.628624,0.093874,57.5903
111,4.625,17.720940,46.172992,0.097684,50.0922
112,4.6667,12.074337,46.107145,0.102894,49.8415
113,4.7083,12.257709,46.666082,0.091308,48.4435
114,4.75,10.505947,46.485312,0.079915,49.4444
115,4.7917,8.941082,46.721157,0.097561,48.6138
116,4.8333,8.374700,46.831404,0.091528,48.6348
117,4.875,7.953911,46.804180,0.097739,48.4936
118,4.9167,7.930759,46.801386,0.087283,48.7617
119,4.9583,8.399433,46.777449,0.095730,47.4602
120,5.0,8.444779,46.981334,0.084097,47.1086
121,5.0417,8.562886,47.304631,0.078194,46.7721
122,5.0833,8.447705,47.089826,0.087017,46.7476
123,5.125,8.626318,47.610140,0.088690,45.2412
124,5.1667,8.418492,47.769813,0.093078,45.2161
125,5.2083,8.879561,47.728493,0.090944,45.1836
126,5.25,9.660393,47.631117,0.088915,45.8414
127,5.2917,9.899334,48.031960,0.087118,43.4910
128,5.3333,9.400927,48.428741,0.093404,42.4994
129,5.375,9.266750,48.240583,0.098887,42.2967
130,5.4167,9.590100,48.700619,0.095535,43.2680
131,5.4583,9.676073,49.780978,0.094760,41.3503
132,5.5,8.890074,49.704778,0.083894,42.0244
133,5.5417,9.277517,49.476128,0.073555,42.8305
134,5.5833,9.185573,49.261947,0.070047,43.9384
135,5.625,9.462996,49.341567,0.069125,43.6518
136,5.6667,9.255757,49.579650,0.069257,43.7640
137,5.7083,8.782198,49.528796,0.083113,43.6989
138,5.75,8.959255,48.960712,0.084141,45.3626
139,5.7917,9.157803,49.236148,0.077383,45.2916
140,5.8333,9.762427,49.202480,0.073227,46.1277
141,5.875,9.998180,49.331963,0.072603,46.6403
142,5.9167,10.376060,48.838839,0.086858,47.9968
143,5.9583,10.660495,49.551788,0.090335,47.5160
144,6.0,11.119512,50.217536,0.082958,47.7820
145,6.0417,11.094614,50.619726,0.081569,47.9197
146,6.0833,11.136790,50.342507,0.082406,49.3200
147,6.125,11.405007,50.469867,0.084077,49.1277
148,6.1667,11.818888,50.316356,0.074442,49.7034
149,6.2083,11.871656,50.003242,0.079220,50.1563
150,6.25,12.433414,49.217416,0.101186,51.1650
151,6.2917,12.473293,49.200911,0.101862,50.2850
152,6.3333,12.750723,49.677151,0.081111,51.0808
153,6.375,13.019003,50.902091,0.066902,51.5248
154,6.4167,14.249178,51.052047,0.075767,54.1068
155,6.4583,13.190207,50.948807,0.083909,54.5703
156,6.5,12.542596,50.166408,0.091217,56.8862
157,6.5417,12.501501,49.452480,0.096692,58.5657
158,6.5833,11.540599,49.319802,0.082917,60.9364
159,6.625,10.152848,48.506605,0.090475,61.9517
160,6.6667,9.777029,47.607887,0.088302,63.5840
161,6.7083,9.494335,46.710795,0.097903,64.9767
162,6.75,9.079955,46.363202,0.103462,66.1930
163,6.7917,8.799376,46.459978,0.093088,65.8708
164,6.8333,8.969927,46.551940,0.091760,66.4355
165,6.875,8.976530,46.553407,0.089076,66.7213
166,6.9167,9.051018,46.625070,0.093610,67.8275
167,6.9583,9.192137,46.244922,0.098809,67.2778
168,7.0,9.346024,45.737563,0.104763,67.8305
169,7.0417,9.399347,45.144763,0.097533,68.0538
170,7.0833,9.299747,44.641147,0.099044,69.1493
171,7.125,9.533819,43.750426,0.127909,68.9051
172,7.1667,9.780861,43.723810,0.135029,69.3653
173,7.2083,9.819525,44.210733,0.110610,69.4522
174,7.25,10.424739,44.907480,0.101881,70.4304
175,7.2917,10.797379,45.318429,0.088532,69.3867
176,7.3333,10.688915,45.480469,0.071420,69.0923
177,7.375,10.541539,45.282164,0.081255,68.9536
178,7.4167,10.534756,45.040348,0.077768,69.4058
179,7.4583,10.509871,44.931302,0.076484,68.5628
180,7.5,10.354104,44.594246,0.075791,68.7994
181,7.5417,10.077253,43.846906,0.078994,69.0372
182,7.5833,9.873251,43.045852,0.089958,69.8237
183,7.625,10.306613,42.403566,0.098735,68.6263
184,7.6667,10.321862,42.022609,0.094836,68.3333
185,7.7083,10.109714,41.401391,0.108730,68.3916
186,7.75,9.960973,40.735798,0.122297,69.0385
187,7.7917,10.200044,40.211751,0.120910,68.1601
188,7.8333,10.208981,39.898003,0.130726,68.2653
189,7.875,10.094084,39.589059,0.130657,68.1687
190,7.9167,10.279929,39.416805,0.128160,68.6458
191,7.9583,10.735344,38.902065,0.138765,67.5065
192,8.0,10.655835,38.370222,0.143721,67.8039
193,8.0417,10.415829,37.995131,0.135043,68.2464
194,8.0833,10.516155,37.127013,0.133259,69.9167
195,8.125,10.472152,36.057545,0.135362,69.8682
196,8.1667,10.703373,34.977449,0.143720,70.8563
197,8.2083,10.753313,33.853819,0.157476,71.3504
198,8.25,10.886746,32.932665,0.174772,72.5058
199,8.2917,10.941173,32.132198,0.176487,71.9241
200,8.3333,10.666267,31.331798,0.187661,72.2402
201,8.375,10.223329,30.504819,0.214207,71.6233
202,8.4167,9.852211,30.016831,0.229470,72.0627
203,8.4583,9.846369,29.451499,0.230067,70.7842
204,8.5,9.609785,28.771303,0.242284,70.4952
205,8.5417,9.158717,28.088150,0.253663,69.8709
206,8.5833,8.715779,27.214633,0.269548,69.9802
207,8.625,8.729378,26.514568,0.278191,68.9440
208,8.6667,8.807696,25.840398,0.287105,69.0281
209,8.7083,8.681101,24.967447,0.309138,68.8848
210,8.75,8.211320,24.217620,0.321151,69.2905
211,8.7917,7.776130,23.441677,0.336083,68.5214
212,8.8333,7.287249,22.554062,0.366451,68.4469
213,8.875,6.910122,21.676010,0.399831,68.0567
214,8.9167,6.265487,20.792693,0.434230,68.0512
215,8.9583,6.076021,19.874222,0.468125,67.3566
216,9.0,5.750833,19.252509,0.488125,67.3206
217,9.0417,5.099047,18.706391,0.504000,67.4424
218,9.0833,4.998632,17.699175,0.541693,67.7864
219,9.125,4.683678,16.242956,0.610040,67.0160
220,9.1667,3.202767,14.859811,0.665105,66.9097
221,9.2083,2.715092,13.778250,0.698572,66.7432
222,9.25,2.526167,13.135250,0.713579,66.8756
223,9.2917,2.007023,12.823126,0.720642,66.4082
224,9.3333,1.789735,12.526885,0.725706,66.4943
225,9.375,2.321204,12.067398,0.737256,66.5590
226,9.4167,3.349833,11.341567,0.759493,66.9775
227,9.4583,2.506495,10.983124,0.769687,66.6989
228,9.5,2.317437,10.491090,0.778877,66.8484
229,9.5417,2.152010,10.223039,0.782185,66.7422
230,9.5833,2.017382,9.899157,0.784322,66.9987
231,9.625,1.864863,9.723700,0.785339,66.7938
232,9.6667,2.153005,9.556921,0.787254,66.9482
233,9.7083,2.350747,9.251397,0.792651,67.0014
234,9.75,2.023616,8.737988,0.799795,67.4041
235,9.7917,1.923671,8.363006,0.808253,67.2354
236,9.8333,1.884782,7.808759,0.822549,67.4203
237,9.875,1.936659,7.360863,0.840535,67.4374
238,9.9167,1.814322,6.758153,0.860498,67.7212
239,9.9583,1.943113,6.268831,0.886710,67.3808
240,10.0,1.432125,5.688095,0.919435,67.5167
241,10.0417,3.365667,3.439017,0.980710,68.7243
