index,t,pair_mae,dest_mae,dest_ssim,luma
0,0.0,0.000000,54.133647,0.080853,66.8382
1,0.0417,16.199444,54.102154,0.075608,67.3724
2,0.0833,17.614299,54.091463,0.075524,69.3329
3,0.125,17.544625,54.781681,0.067233,68.0015
4,0.1667,17.362625,55.676950,0.060825,68.9932
5,0.2083,17.962338,56.294082,0.059891,69.8605
6,0.25,18.365873,56.590181,0.056144,69.7330
7,0.2917,18.571465,56.718586,0.061929,67.4276
8,0.3333,18.088304,56.325023,0.064892,65.9807
9,0.375,17.343061,55.352666,0.064052,63.1739
10,0.4167,17.901736,54.918108,0.072723,64.1436
11,0.4583,17.697314,53.750822,0.083627,60.9932
12,0.5,17.173313,52.731597,0.089775,59.7924
13,0.5417,17.337873,51.529684,0.083904,59.2949
14,0.5833,17.304718,51.242040,0.083216,59.9502
15,0.625,17.181010,52.147752,0.079219,58.8817
16,0.6667,17.548209,53.182422,0.080758,57.5919
17,0.7083,16.678631,52.906725,0.080854,54.9267
18,0.75,16.964962,52.152639,0.067753,53.5551
19,0.7917,16.867638,51.985163,0.077579,49.4479
20,0.8333,15.968450,51.606725,0.093007,48.3123
21,0.875,15.406850,50.219418,0.098836,49.0631
22,0.9167,16.002122,49.460096,0.091811,48.6288
23,0.9583,16.094706,50.319995,0.092767,49.3572
24,1.0,14.891466,50.301394,0.093840,49.2261
25,1.0417,14.767857,49.820912,0.089030,48.9200
26,1.0833,15.355242,48.796418,0.086699,50.3011
27,1.125,15.553404,48.790476,0.089673,48.6722
28,1.1667,15.450368,48.695188,0.090516,48.1307
29,1.2083,15.364641,48.481289,0.079239,47.8194
30,1.25,15.665014,48.199170,0.065907,47.9489
31,1.2917,15.737432,47.873658,0.076242,46.4570
32,1.3333,15.569429,47.593431,0.079199,45.1696
33,1.375,15.682020,46.947455,0.080709,44.0279
34,1.4167,15.861059,45.952817,0.089931,45.3159
35,1.4583,16.076987,46.348387,0.096026,44.1152
36,1.5,15.925151,46.623548,0.098251,45.2213
37,1.5417,16.004086,46.921416,0.107302,45.7114
38,1.5833,16.683054,47.515351,0.090020,46.1303
39,1.625,17.319614,48.572120,0.079680,44.6019
40,1.6667,16.920677,49.489518,0.092546,44.2065
41,1.7083,15.817836,50.065620,0.089550,43.4906
42,1.75,16.440497,50.607589,0.079337,44.5797
43,1.7917,16.570249,51.127493,0.074550,42.4347
44,1.8333,16.497076,51.840113,0.073226,42.5385
45,1.875,16.214536,52.215990,0.084249,42.2015
46,1.9167,16.845264,52.359720,0.078881,42.9138
47,1.9583,17.208908,53.349715,0.091851,39.5637
48,2.0,16.851859,54.401371,0.081539,37.6999
49,2.0417,16.719893,54.858341,0.076124,37.7379
50,2.0833,17.050895,54.322269,0.086283,40.5883
51,2.125,16.388244,54.738359,0.070240,39.8877
52,2.1667,16.600707,55.680770,0.066323,38.8372
53,2.2083,17.149713,56.574342,0.059376,37.1014
54,2.25,17.763753,57.178410,0.057924,36.5940
55,2.2917,16.829908,57.084613,0.071952,35.7201
56,2.3333,17.453167,56.891168,0.049798,37.5122
57,2.375,18.500449,55.937309,0.069885,38.9529
58,2.4167,19.671744,54.538701,0.067979,42.2550
59,2.4583,19.119758,54.531563,0.080489,41.4399
60,2.5,19.227284,54.114419,0.080325,42.9682
61,2.5417,19.670029,53.383529,0.078870,43.9334
62,2.5833,20.235435,53.115784,0.077980,45.4544
