index,t,pair_mae,dest_mae,dest_ssim,luma
0,0.0,0.000000,43.814338,0.075449,69.2921
1,0.0417,13.648454,44.873418,0.067822,71.0924
2,0.0833,15.437176,46.804720,0.065395,76.2207
3,0.125,15.574601,48.082459,0.071308,76.9264
4,0.1667,17.348932,50.005838,0.079866,80.2817
5,0.2083,17.909594,52.698483,0.067951,84.8435
6,0.25,18.060093,56.490536,0.052277,88.8247
7,0.2917,17.480762,58.121528,0.051396,88.3221
8,0.3333,17.806665,59.486161,0.052634,88.0004
9,0.375,18.823995,60.183459,0.049360,84.8084
10,0.4167,19.121875,62.538025,0.036455,84.9192
11,0.4583,19.720956,61.744643,0.041499,80.4146
12,0.5,20.050277,59.585667,0.045292,74.7104
13,0.5417,18.975180,56.010064,0.055490,69.0991
14,0.5833,19.320987,52.650569,0.037922,63.0255
15,0.625,19.573768,49.039891,0.053760,55.4989
16,0.6667,18.576974,46.068291,0.048649,48.2794
17,0.7083,15.794893,45.176217,0.058304,43.9026
18,0.75,14.593413,44.497194,0.055016,43.3729
19,0.7917,14.558568,44.618366,0.054894,40.0730
20,0.8333,13.895280,43.992458,0.052417,39.2135
21,0.875,13.644215,43.216998,0.063565,38.8018
22,0.9167,13.795888,42.488257,0.065096,39.2936
23,0.9583,13.179310,42.600467,0.062696,38.2761
24,1.0,12.798530,42.634936,0.073566,38.7285
25,1.0417,12.460401,42.655676,0.068347,39.1902
26,1.0833,12.900674,42.094168,0.067503,42.2420
27,1.125,13.135808,42.069387,0.073537,42.7807
28,1.1667,13.616745,41.839072,0.083337,45.2617
29,1.2083,13.635790,42.191058,0.073451,46.7177
30,1.25,14.530404,42.525462,0.076205,49.3540
31,1.2917,14.838557,43.271653,0.070712,49.6016
32,1.3333,14.946011,44.069079,0.068467,50.2545
33,1.375,15.097311,45.179161,0.058854,50.6326
34,1.4167,15.922846,46.043116,0.047950,53.5440
35,1.4583,16.307970,47.413696,0.049468,53.3341
36,1.5,17.349864,49.149504,0.046728,55.5435
37,1.5417,17.334088,50.492458,0.042696,55.6470
38,1.5833,17.554180,51.337761,0.051104,57.0643
39,1.625,16.957213,52.073217,0.041193,55.4510
40,1.6667,15.754054,52.205712,0.052863,53.8976
41,1.7083,14.833372,51.140479,0.057484,51.5006
42,1.75,14.550021,49.464325,0.053558,50.8103
43,1.7917,15.187881,47.768784,0.059316,47.7769
44,1.8333,14.430754,46.206446,0.053990,47.7101
45,1.875,14.157031,45.177887,0.055767,48.3759
46,1.9167,14.829673,44.060641,0.067691,50.7112
47,1.9583,15.783566,44.676480,0.074644,50.1256
48,2.0,15.969105,44.881362,0.074992,51.3289
49,2.0417,16.170217,44.891936,0.078771,53.8802
50,2.0833,17.241831,43.927480,0.097498,58.8907
51,2.125,16.257226,44.066145,0.100703,60.1848
52,2.1667,16.769183,45.532816,0.073562,62.9108
53,2.2083,16.290980,45.835430,0.084265,65.7797
54,2.25,15.447006,46.163941,0.082006,68.9138
55,2.2917,14.962205,45.750608,0.080568,67.7041
56,2.3333,15.468272,45.471930,0.074696,66.9374
57,2.375,15.975488,44.561427,0.083579,66.5335
58,2.4167,16.646880,44.980676,0.074855,67.9011
59,2.4583,17.174024,44.877235,0.077275,67.3792
60,2.5,17.760727,46.047669,0.061623,69.5682
61,2.5417,18.343468,46.987957,0.073952,71.8726
62,2.5833,20.056571,47.543003,0.104825,76.0913
63,2.625,21.084965,49.695298,0.064786,78.0610
64,2.6667,20.136030,51.788623,0.057965,79.2590
65,2.7083,18.972113,50.619345,0.078117,80.6882
66,2.75,19.705877,51.550003,0.072771,83.5127
67,2.7917,18.150431,53.112479,0.064832,83.6008
68,2.8333,16.964790,52.994729,0.067991,83.3844
69,2.875,17.182182,52.213743,0.067128,82.2320
70,2.9167,17.683516,51.369152,0.070069,81.8169
71,2.9583,17.484555,47.718948,0.085072,77.1354
72,3.0,16.030480,45.852222,0.093397,71.8958
73,3.0417,14.408096,43.754386,0.102855,69.0305
74,3.0833,13.339179,42.964048,0.086270,67.2753
75,3.125,13.011223,41.609748,0.096034,63.4299
76,3.1667,11.949893,41.455506,0.093093,61.8299
77,3.2083,11.164907,40.883759,0.098120,60.8158
78,3.25,11.186210,40.567828,0.081413,60.3487
79,3.2917,11.534803,40.338999,0.089869,58.2717
80,3.3333,11.294189,40.148334,0.092949,57.3645
81,3.375,11.019152,40.131809,0.082443,57.3600
82,3.4167,11.009600,40.069008,0.085028,58.5328
83,3.4583,11.394737,39.929791,0.082640,57.7940
84,3.5,11.446705,39.809218,0.088539,58.1184
85,3.5417,11.724381,39.815450,0.093834,58.4744
86,3.5833,12.359482,40.472880,0.072422,59.8057
87,3.625,13.142095,40.845953,0.084074,59.0811
88,3.6667,13.713829,41.185022,0.062587,59.0346
89,3.7083,14.311320,40.509516,0.086522,59.7958
90,3.75,15.250261,40.637367,0.082318,62.0374
91,3.7917,15.193732,40.928624,0.080390,62.3183
92,3.8333,14.955801,40.449911,0.085000,63.7604
93,3.875,15.169964,40.246771,0.097716,65.4520
94,3.9167,15.384038,41.164111,0.097061,68.2502
95,3.9583,14.007592,41.459474,0.086079,66.6092
