project,role,grammar,created,seam,incoming_id,outgoing_id,incoming_path,outgoing_path,incoming_model,outgoing_model,incoming_frames,outgoing_frames,camotion_start,camotion_end,L_O0_ssim,L_O0_mae,L_O0_psnr,L_O1_ssim,L_O1_mae,L_O1_psnr,O0_O1_ssim,O0_O1_mae,O0_O1_psnr,O1_O2_ssim,O1_O2_mae,O1_O2_psnr,motion_ratio
TheLongWayDown,known_control,pov,2026-09-22,A-B|B-C,A-B,B-C,projects/TheLongWayDown/traversals/A-B/take-01.mp4,projects/TheLongWayDown/traversals/B-C/take-01.mp4,kwaivgi/kling-v2.5-turbo-pro,kwaivgi/kling-v2.5-turbo-pro,242,242,True,True,0.9565337951001577,2.02051384029025,35.953426188341936,0.6690017155116398,11.339090820534258,22.633061136144917,0.6666046864658919,11.45546708882971,22.48110471037641,0.6691176548766157,12.293193653103776,21.95377406000403,0.9898409844493438
TheLongWayDown,known_control,pov,2026-09-22,B-C|C-D,B-C,C-D,projects/TheLongWayDown/traversals/B-C/take-01.mp4,projects/TheLongWayDown/traversals/C-D/take-01.mp4,kwaivgi/kling-v2.5-turbo-pro,kwaivgi/kling-v2.5-turbo-pro,242,242,True,True,0.9173183996794694,3.3295592512024936,33.87988941992798,0.4988369577604242,17.68042260817283,19.78849065028618,0.5150643296612697,17.19644451497698,19.99928261789388,0.512148132374236,17.769166840847628,19.76586404945509,1.028144079014376
TheLongWayDown,known_control,pov,2026-09-22,C-D|D-E,C-D,D-E,projects/TheLongWayDown/traversals/C-D/take-01.mp4,projects/TheLongWayDown/traversals/D-E/take-01.mp4,kwaivgi/kling-v2.5-turbo-pro,kwaivgi/kling-v2.5-turbo-pro,242,242,True,True,0.9517078707203747,2.4669627097912925,37.03923632633069,0.591820739600138,17.338676173076525,20.44766853490406,0.5878548501131565,17.444112102867404,20.43225309472218,0.5778900431344399,19.198585005470573,19.731601285567194,0.9939557869630092
Whiteout,validation,follow,2026-09-22,A-B|B-C,A-B,B-C,projects/Whiteout/traversals/A-B/take-01.mp4,projects/Whiteout/traversals/B-C/take-01.mp4,kwaivgi/kling-v2.5-turbo-pro,kwaivgi/kling-v2.5-turbo-pro,122,242,True,True,0.8924819440732018,4.7463859063087055,28.952632011462427,0.5833726292292103,22.615098941237793,16.631554947203888,0.5877009864657855,22.102290350632728,16.90350075369794,0.7362256903398615,12.44179130282199,20.683764776100336,1.023201604108435
Whiteout,validation,follow,2026-09-22,B-C|C-D,B-C,C-D,projects/Whiteout/traversals/B-C/take-01.mp4,projects/Whiteout/traversals/C-D/take-01.mp4,kwaivgi/kling-v2.5-turbo-pro,kwaivgi/kling-v2.5-turbo-pro,242,242,True,True,0.9596285438195112,2.4693101208170765,37.18747905929587,0.4615543542161676,34.001691490679384,14.246996501747285,0.4611936978532096,33.91438247687909,14.267471786263393,0.48063477136563426,32.93017294879338,14.51252171512396,1.0025743949151902
Whiteout,validation,follow,2026-09-22,C-D|D-E,C-D,D-E,projects/Whiteout/traversals/C-D/take-01.mp4,projects/Whiteout/traversals/D-E/take-01.mp4,kwaivgi/kling-v2.5-turbo-pro,kwaivgi/kling-v2.5-turbo-pro,242,242,True,True,0.9222635097254326,3.3126466023100267,32.80544782591372,0.6423883107491881,21.184202818893088,17.859991383892662,0.6461623121661445,20.776336000237404,18.033761811275866,0.635778568082646,21.028379723529653,17.984119690700997,1.0196313160631896
PaperChase,validation,pov,2026-09-19,A-B|B-C,A-B,B-C,projects/PaperChase/traversals/A-B/take-02.mp4,projects/PaperChase/traversals/B-C/take-02.mp4,kwaivgi/kling-v2.5-turbo-pro,kwaivgi/kling-v2.5-turbo-pro,122,122,True,True,0.9422051438528248,3.7915360309448607,31.62713406956626,0.4011646480134723,36.269848888338394,13.742084230119646,0.40499176050858327,36.206539914535206,13.738479682825213,0.40514721247436974,41.08726837157573,12.878740071665906,1.0017485507853727
PaperChase,validation,pov,2026-09-19,B-C|C-D,B-C,C-D,projects/PaperChase/traversals/B-C/take-02.mp4,projects/PaperChase/traversals/C-D/take-03.mp4,kwaivgi/kling-v2.5-turbo-pro,kwaivgi/kling-v2.5-turbo-pro,122,122,True,True,0.8800455237381303,5.949754920934746,28.305236688672192,0.44569529915025,34.62243631427923,13.951621624380138,0.47585950776977287,32.71125892838711,14.385209337341307,0.45134182537677714,39.2681009501249,12.758262707794621,1.058425675088695
PaperChase,validation,pov,2026-09-19,C-D|D-E,C-D,D-E,projects/PaperChase/traversals/C-D/take-03.mp4,projects/PaperChase/traversals/D-E/take-02.mp4,kwaivgi/kling-v2.5-turbo-pro,kwaivgi/kling-v2.5-turbo-pro,122,122,True,True,0.8826784422143797,5.245616768336739,29.177665963339933,0.5377305459754064,20.498257383982576,17.413797414527334,0.5274999906635197,21.335641714921245,17.14974952995281,0.547479452328106,21.154522544177453,17.165028915574073,0.9607518563478202
PaperChase,validation,pov,2026-09-19,D-E|E-F,D-E,E-F,projects/PaperChase/traversals/D-E/take-02.mp4,projects/PaperChase/traversals/E-F/take-02.mp4,kwaivgi/kling-v2.5-turbo-pro,kwaivgi/kling-v2.5-turbo-pro,122,242,True,True,0.630586037401024,12.199271891321402,21.860766320407947,0.4607215768012476,26.755541535063273,15.384290148286157,0.5236894087886008,22.850667080830288,16.46484472847515,0.5388837461042143,22.15048009434157,16.82156651825831,1.1708866721667321
