index,t,pair_mae,dest_mae,dest_ssim,luma
0,0.0,0.000000,55.485255,0.117271,64.1945
1,0.0417,9.391771,55.992756,0.115397,65.0279
2,0.0833,10.817140,56.324399,0.123098,66.7738
3,0.125,10.824259,56.470875,0.119837,65.8734
4,0.1667,11.281528,57.160893,0.116903,65.9866
5,0.2083,11.190611,57.525905,0.111457,65.9751
6,0.25,11.563829,58.129929,0.113661,66.0358
7,0.2917,11.987175,58.502382,0.115951,64.6992
8,0.3333,12.499332,59.233528,0.112429,64.4498
9,0.375,12.369894,59.713624,0.119665,63.6302
10,0.4167,12.581008,60.465632,0.110084,64.9034
11,0.4583,12.956708,60.446117,0.101641,63.7563
12,0.5,13.171978,60.667392,0.100055,63.6584
13,0.5417,13.214479,60.281981,0.105957,63.0086
14,0.5833,13.306918,60.105488,0.113581,63.1560
15,0.625,13.337453,59.642020,0.126180,62.1002
16,0.6667,13.349841,59.295368,0.118016,61.5351
17,0.7083,13.189469,58.507673,0.123971,60.9002
18,0.75,13.510396,58.259626,0.119604,62.4770
19,0.7917,13.595188,58.038595,0.120214,61.3676
20,0.8333,13.653836,57.745521,0.124056,61.6875
21,0.875,13.842192,57.222456,0.123410,62.0922
22,0.9167,14.644192,56.713829,0.135364,63.0397
23,0.9583,14.863816,56.121882,0.141501,62.4629
24,1.0,14.860789,55.469229,0.152307,61.7311
25,1.0417,14.508619,55.024134,0.151964,61.2446
26,1.0833,14.597758,54.937289,0.149235,62.5067
27,1.125,14.188283,54.574412,0.142573,60.6968
28,1.1667,14.107415,54.196866,0.144456,60.6202
29,1.2083,14.640397,54.032124,0.140324,61.1785
30,1.25,15.449886,53.888387,0.140198,62.2183
31,1.2917,15.580103,53.428217,0.144213,61.3518
32,1.3333,15.429318,52.702390,0.168156,61.3145
33,1.375,15.024683,52.834319,0.160933,61.1607
34,1.4167,14.978790,53.202117,0.149265,62.9630
35,1.4583,15.309421,53.730035,0.139526,62.2878
36,1.5,15.541815,53.738709,0.138142,62.8786
37,1.5417,15.837726,53.609769,0.130570,63.4812
38,1.5833,16.552986,53.171317,0.131277,64.8555
39,1.625,16.621577,52.398804,0.132690,63.9516
40,1.6667,16.265725,51.861189,0.126046,63.5356
41,1.7083,15.802809,51.397930,0.134578,62.8373
42,1.75,16.009967,51.256778,0.148766,64.0888
43,1.7917,15.968420,50.935716,0.146611,62.9477
44,1.8333,16.070852,50.980730,0.143844,63.5211
45,1.875,15.686275,50.924813,0.140155,63.8592
46,1.9167,15.660573,51.277260,0.136012,64.4403
47,1.9583,15.512149,51.616812,0.132504,63.7717
48,2.0,15.411332,51.757270,0.128963,63.7239
49,2.0417,14.557681,51.668955,0.131284,63.8413
50,2.0833,14.333716,51.691118,0.123598,64.9234
51,2.125,13.511504,51.509800,0.128749,63.8918
52,2.1667,12.987115,51.733692,0.123946,64.0848
53,2.2083,12.133973,51.866578,0.128828,64.3419
54,2.25,11.987932,52.245147,0.127508,65.3008
55,2.2917,12.001623,52.611226,0.127028,65.4381
56,2.3333,12.303264,53.211431,0.121682,66.1810
57,2.375,12.115801,53.756133,0.130574,67.3373
58,2.4167,12.496733,54.679791,0.115636,69.3421
59,2.4583,12.532621,55.152299,0.118001,69.3387
60,2.5,12.494028,56.101014,0.105712,70.5825
61,2.5417,12.305969,56.679388,0.113128,71.3132
62,2.5833,12.423973,57.180847,0.117754,72.4741
63,2.625,12.697631,57.754497,0.117039,72.5119
64,2.6667,13.279393,58.428719,0.105913,73.3870
65,2.7083,12.991133,58.475190,0.093316,73.9297
66,2.75,13.128470,58.214708,0.098289,74.9547
67,2.7917,13.288665,57.884069,0.102486,74.0163
68,2.8333,13.617730,57.727851,0.110004,74.0780
69,2.875,13.619941,57.313168,0.111951,73.7147
70,2.9167,14.002060,56.822610,0.108316,73.5643
71,2.9583,14.092728,56.057686,0.108647,71.5041
72,3.0,14.131000,55.437734,0.102585,70.2857
73,3.0417,13.636532,54.697160,0.099395,68.5820
74,3.0833,13.338366,54.496876,0.102308,69.1104
75,3.125,13.232696,54.303397,0.114833,67.8302
76,3.1667,12.804497,54.476958,0.116243,67.4728
77,3.2083,12.581208,55.090413,0.125906,67.7563
78,3.25,12.702786,55.589453,0.116257,68.2364
79,3.2917,13.074724,55.934766,0.121192,66.9941
80,3.3333,13.330722,56.460432,0.112995,65.9883
81,3.375,13.190418,57.147022,0.102302,65.0902
82,3.4167,13.401592,57.325632,0.111416,65.7283
83,3.4583,13.713938,57.383443,0.116020,64.4028
84,3.5,14.056716,57.532002,0.113023,64.6109
85,3.5417,14.405126,57.237664,0.125722,64.8560
86,3.5833,14.834977,57.087128,0.111176,66.1510
87,3.625,15.160118,56.738512,0.100171,65.0145
88,3.6667,15.550192,56.314001,0.121641,64.7528
89,3.7083,15.687630,55.551506,0.111453,64.3959
90,3.75,16.709868,54.974519,0.123447,65.9474
91,3.7917,17.387523,54.029187,0.124101,64.5710
92,3.8333,17.879455,53.445394,0.138064,65.5048
93,3.875,18.719086,53.409943,0.153201,66.6237
94,3.9167,19.580608,52.636233,0.152620,67.3677
95,3.9583,19.805834,49.577669,0.153948,63.3588
96,4.0,19.350416,46.909571,0.196037,59.6184
97,4.0417,18.072836,45.483635,0.196590,58.2612
98,4.0833,16.196923,44.659340,0.230558,58.4461
99,4.125,13.490473,43.675031,0.219315,57.5176
100,4.1667,14.885588,44.248192,0.215302,58.1052
101,4.2083,13.702195,43.923603,0.212020,57.3729
102,4.25,14.080366,42.893368,0.253672,58.4836
103,4.2917,14.908362,42.064547,0.251675,58.9298
104,4.3333,16.899878,42.153210,0.224495,59.8179
105,4.375,18.373122,42.982345,0.231000,63.1573
106,4.4167,25.449717,53.442626,0.128704,75.2376
107,4.4583,20.854591,55.891687,0.119567,76.2980
108,4.5,19.862508,56.347162,0.137427,76.0135
109,4.5417,18.954060,49.918290,0.164499,69.5638
110,4.5833,12.378995,45.218727,0.214441,65.3567
111,4.625,9.930220,44.162086,0.205079,62.8037
112,4.6667,9.321424,43.323460,0.218584,62.0867
113,4.7083,9.115070,43.029286,0.222526,63.1218
114,4.75,9.552229,42.872339,0.215967,64.8247
115,4.7917,10.019811,42.223897,0.226025,64.4904
116,4.8333,10.951906,42.521658,0.230351,66.1844
117,4.875,11.567000,43.355829,0.218645,68.8050
118,4.9167,12.803446,43.732090,0.226517,72.0929
119,4.9583,13.253285,44.595597,0.206694,73.1657
120,5.0,13.474477,46.315605,0.220941,76.0861
121,5.0417,13.079174,49.260630,0.215786,79.4180
122,5.0833,13.011715,52.115218,0.192223,82.8299
