index,t,pair_mae,dest_mae,dest_ssim,luma
0,0.0,0.000000,55.122693,0.090929,61.2296
1,0.0417,10.428306,54.740111,0.116422,63.2603
2,0.0833,11.223614,54.394853,0.122143,66.7345
3,0.125,10.657215,54.670378,0.121194,66.8904
4,0.1667,11.452146,54.693368,0.110586,69.4331
5,0.2083,11.781494,54.388772,0.118926,72.0670
6,0.25,12.367886,53.993045,0.121078,75.0312
7,0.2917,12.439461,53.684889,0.120464,76.1267
8,0.3333,12.485131,53.861899,0.120826,77.3447
9,0.375,12.654411,53.906952,0.111509,77.5325
10,0.4167,13.568139,53.138377,0.109799,80.6843
11,0.4583,13.453347,53.076706,0.115771,80.8803
12,0.5,14.912188,52.379245,0.109646,83.7555
13,0.5417,15.028935,52.476371,0.102125,86.9372
14,0.5833,15.047386,52.715247,0.118891,89.0428
15,0.625,15.250601,52.844093,0.113439,90.0661
16,0.6667,14.906414,53.065681,0.113412,90.9258
17,0.7083,15.221772,52.828959,0.123063,91.0224
18,0.75,15.660565,53.296281,0.111376,92.6013
19,0.7917,16.399748,52.748567,0.104395,91.2154
20,0.8333,17.245469,52.842637,0.107928,91.6933
21,0.875,17.085001,53.140148,0.107488,92.9318
22,0.9167,17.382043,52.631591,0.104940,92.9106
23,0.9583,18.235258,51.230316,0.109679,91.1143
24,1.0,18.415694,50.458495,0.124727,89.5616
25,1.0417,18.366180,50.016534,0.121687,88.2084
26,1.0833,18.714315,50.570269,0.125477,88.8395
27,1.125,19.229853,49.223676,0.129997,87.4244
28,1.1667,20.411532,49.671517,0.110347,89.4966
29,1.2083,20.639165,50.947220,0.108568,92.8682
30,1.25,21.145948,51.914781,0.124265,94.6962
31,1.2917,21.237276,50.484402,0.119724,93.0418
32,1.3333,20.087037,48.832077,0.124869,90.7511
33,1.375,18.376459,47.601992,0.130580,89.6818
34,1.4167,17.450918,48.116841,0.102851,88.0845
35,1.4583,18.056367,46.444281,0.130886,83.8215
36,1.5,18.644327,46.198663,0.124433,81.5301
37,1.5417,18.241732,47.043157,0.123305,81.9612
38,1.5833,19.918740,48.898216,0.152626,83.2245
39,1.625,20.275029,49.852328,0.132203,81.0681
40,1.6667,20.209977,51.226839,0.146750,78.1532
41,1.7083,19.308939,52.544627,0.156288,76.2139
42,1.75,19.234449,54.246122,0.130816,76.2827
43,1.7917,19.882439,55.740920,0.127149,74.6574
44,1.8333,20.079050,56.960804,0.110866,75.9502
45,1.875,20.497891,57.827968,0.104275,80.6463
46,1.9167,18.950437,58.029128,0.117341,84.8707
47,1.9583,18.512940,56.134499,0.111948,85.5194
48,2.0,16.565109,53.189287,0.138520,83.5513
49,2.0417,15.519234,51.382933,0.133936,81.8779
50,2.0833,15.607517,50.250749,0.145672,80.5940
51,2.125,13.630493,50.296614,0.113644,80.0818
52,2.1667,13.815626,50.748663,0.110855,80.6477
53,2.2083,13.908071,50.401932,0.108422,82.2980
54,2.25,14.573455,50.232961,0.112733,83.9515
55,2.2917,13.799449,49.730730,0.118641,84.0352
56,2.3333,13.305272,49.145771,0.117833,83.7056
57,2.375,13.931994,48.280751,0.138635,84.5041
58,2.4167,13.822992,48.362321,0.131771,85.1439
59,2.4583,12.926945,47.232358,0.111953,81.8925
60,2.5,13.352154,46.214271,0.097961,78.6971
61,2.5417,14.203040,44.397279,0.106870,74.5166
62,2.5833,14.161574,43.139217,0.109491,71.0226
63,2.625,13.562167,41.222103,0.130217,68.3184
64,2.6667,11.833011,40.872560,0.121713,66.4771
65,2.7083,11.652328,40.674113,0.125310,64.9182
66,2.75,12.168217,40.903904,0.141738,62.8232
67,2.7917,12.159327,42.221283,0.124174,58.4533
68,2.8333,11.200637,43.894387,0.116408,55.9809
69,2.875,10.504226,45.065218,0.140720,54.7984
70,2.9167,10.774488,46.326852,0.129561,54.2370
71,2.9583,11.077593,48.358945,0.132357,52.0717
72,3.0,10.404336,49.881731,0.120764,51.7348
73,3.0417,10.075720,51.002338,0.110052,52.2251
74,3.0833,10.471426,51.112877,0.114345,55.1611
75,3.125,10.749342,51.559925,0.116681,56.5568
76,3.1667,11.406705,52.691604,0.117798,58.9785
77,3.2083,11.488512,53.400070,0.121459,62.8195
78,3.25,11.832332,54.401883,0.127553,66.2638
79,3.2917,11.395079,55.026998,0.111500,66.6123
80,3.3333,11.560552,55.588507,0.105382,67.4293
81,3.375,12.072243,55.049430,0.117323,69.3096
82,3.4167,13.289869,53.713129,0.134130,73.1047
83,3.4583,13.957012,53.145599,0.127287,75.4092
84,3.5,15.545264,53.076745,0.144488,79.5673
85,3.5417,16.804877,53.181351,0.142921,85.1138
86,3.5833,17.612711,53.779221,0.142420,90.4354
87,3.625,17.487981,53.890023,0.138082,91.7945
88,3.6667,18.319959,54.425614,0.105625,93.3026
89,3.7083,19.209043,54.015884,0.114660,95.4785
90,3.75,19.685378,54.300544,0.116884,98.3063
91,3.7917,19.963514,54.043864,0.113068,98.8747
92,3.8333,20.661291,54.954874,0.105152,101.3833
93,3.875,20.600390,56.215153,0.108887,104.4121
94,3.9167,21.055792,56.885037,0.117928,107.4152
95,3.9583,21.120516,56.639901,0.125013,105.9666
96,4.0,21.031185,55.568734,0.132663,103.5582
97,4.0417,19.906596,54.811967,0.120639,100.6886
98,4.0833,19.872168,54.456242,0.132507,97.2696
99,4.125,21.310414,53.858599,0.116690,90.2966
100,4.1667,20.495854,53.943258,0.114757,86.5022
101,4.2083,19.618178,54.842517,0.106992,87.1640
