index,t,pair_mae,dest_mae,dest_ssim,luma
0,0.0,0.000000,50.937940,0.109892,68.8319
1,0.0417,15.861852,50.789451,0.093976,68.8127
2,0.0833,16.398367,50.997441,0.110573,70.7084
3,0.125,16.289061,50.757163,0.095104,68.8640
4,0.1667,16.323874,51.273104,0.093285,69.4719
5,0.2083,16.151992,52.033596,0.088130,70.5051
6,0.25,16.452728,52.256533,0.099721,70.9956
7,0.2917,16.455517,52.897703,0.099123,70.2566
8,0.3333,16.185672,53.643035,0.077320,69.8629
9,0.375,16.198710,53.500260,0.072099,68.2006
10,0.4167,16.569187,55.027052,0.063375,70.1087
11,0.4583,16.666677,55.235703,0.076370,68.0276
12,0.5,16.598088,56.198320,0.069115,67.7093
13,0.5417,16.104383,56.527952,0.071164,66.3145
14,0.5833,16.657280,56.160893,0.074784,64.8701
15,0.625,16.134738,55.449568,0.076318,61.7334
16,0.6667,15.991877,54.818594,0.080237,58.8502
17,0.7083,15.238369,53.852265,0.088691,56.0510
18,0.75,14.991820,52.338743,0.106105,55.2392
19,0.7917,14.898822,51.927494,0.099511,52.5891
20,0.8333,15.083591,51.229229,0.092827,51.1264
21,0.875,14.903631,50.505452,0.094088,49.6443
22,0.9167,14.912562,50.377341,0.108757,48.5465
23,0.9583,14.081029,51.380576,0.097210,47.7298
24,1.0,13.478743,51.557197,0.086290,47.8179
25,1.0417,13.370199,50.596980,0.090455,47.6271
26,1.0833,13.880886,49.304827,0.101606,49.1182
27,1.125,13.245982,50.323697,0.093507,49.1982
28,1.1667,12.732293,50.301423,0.093878,49.9349
29,1.2083,12.701012,49.675291,0.099275,50.0752
30,1.25,12.859158,49.138839,0.097110,50.2144
31,1.2917,13.161163,49.152806,0.096573,49.1932
32,1.3333,13.340723,49.145313,0.099839,48.5790
33,1.375,13.336319,48.890559,0.106099,48.2289
34,1.4167,13.542840,48.275981,0.100695,49.3785
35,1.4583,13.559813,48.401092,0.102599,48.3152
36,1.5,13.706409,48.100078,0.113944,48.2597
37,1.5417,13.649620,47.773497,0.101727,48.0557
38,1.5833,14.119959,47.487516,0.099515,47.9535
39,1.625,14.251425,47.420136,0.099689,46.4888
40,1.6667,14.358919,47.097870,0.102065,45.9762
41,1.7083,13.594837,46.555113,0.088189,46.3264
42,1.75,13.654388,45.544369,0.102717,48.6965
43,1.7917,13.835882,45.714282,0.102526,49.0240
44,1.8333,13.987768,45.693243,0.100233,50.1915
45,1.875,13.941209,45.397737,0.108139,51.4838
46,1.9167,14.422550,45.038634,0.120025,52.5729
47,1.9583,14.972266,45.251990,0.125284,51.2552
48,2.0,15.029796,45.333195,0.133354,50.4786
