index,t,pair_mae,dest_mae,dest_ssim,luma
0,0.0,0.000000,45.167182,0.087379,73.4489
1,0.0417,16.144884,46.658508,0.090247,76.1570
2,0.0833,17.893922,49.652382,0.075774,82.4544
3,0.125,17.279073,51.523002,0.075853,83.1887
4,0.1667,18.208068,54.093737,0.078526,84.9419
5,0.2083,18.823026,57.255397,0.060300,87.2168
6,0.25,19.561291,60.626181,0.041776,88.5768
7,0.2917,20.060846,61.086257,0.038252,85.0845
8,0.3333,19.946039,59.976813,0.041057,80.2759
9,0.375,20.531307,56.878787,0.055865,72.2769
10,0.4167,19.606807,53.008960,0.058852,66.1863
11,0.4583,20.919764,48.808588,0.053420,56.5574
12,0.5,19.618256,45.121887,0.064283,49.7671
13,0.5417,17.677622,43.683736,0.064171,45.0727
14,0.5833,16.511709,43.226782,0.060533,42.8294
15,0.625,16.027255,43.125479,0.076913,38.9957
16,0.6667,15.081872,43.034571,0.084420,36.5321
17,0.7083,13.721073,43.206606,0.093152,35.5455
18,0.75,13.051444,42.589817,0.092146,37.2400
19,0.7917,13.188150,42.890114,0.089109,36.5176
20,0.8333,13.072295,42.301111,0.088647,38.6902
21,0.875,13.354567,42.113631,0.082886,40.8124
22,0.9167,14.308788,41.503933,0.093105,43.7569
23,0.9583,14.719377,41.661257,0.087341,45.3608
24,1.0,14.907587,42.436228,0.090266,46.7683
25,1.0417,15.192163,43.027793,0.088595,47.7614
26,1.0833,16.190579,43.312354,0.077199,51.2926
27,1.125,16.968391,44.431338,0.089598,52.0092
28,1.1667,18.155449,46.293779,0.061260,54.3913
29,1.2083,18.299482,47.888356,0.051043,56.0324
30,1.25,18.872186,48.692132,0.051759,57.9788
31,1.2917,19.084636,49.690912,0.068674,56.9779
32,1.3333,18.216498,50.924883,0.043868,55.5452
33,1.375,17.335770,50.199131,0.064779,53.3803
34,1.4167,15.848296,49.142007,0.069253,52.6971
35,1.4583,15.770037,47.260588,0.074465,48.5213
36,1.5,15.406008,44.912903,0.071719,46.7711
37,1.5417,14.967184,43.925265,0.071518,45.5615
38,1.5833,14.217189,43.245586,0.078156,46.2078
39,1.625,14.551761,43.517463,0.082799,44.9355
40,1.6667,13.938923,43.818875,0.099854,44.5207
41,1.7083,13.186730,43.952968,0.101865,45.3965
42,1.75,13.729102,43.088265,0.112020,49.0028
43,1.7917,13.915723,43.317980,0.110106,50.6057
44,1.8333,14.747945,43.485125,0.115216,54.1527
45,1.875,15.735872,43.484714,0.124310,57.7267
46,1.9167,15.874511,43.943745,0.107684,61.8091
47,1.9583,15.923554,44.756286,0.107042,63.4459
48,2.0,14.652923,45.580647,0.100999,64.2966
49,2.0417,14.564823,46.079838,0.095422,65.0103
50,2.0833,14.579973,45.683469,0.107860,66.6150
51,2.125,14.628449,45.907485,0.108693,66.0033
52,2.1667,15.078030,46.165998,0.092988,66.8242
53,2.2083,15.556929,45.650133,0.102491,67.2930
54,2.25,16.191087,45.761444,0.085399,68.2371
55,2.2917,16.832938,45.868113,0.086091,66.9975
56,2.3333,17.055230,45.604232,0.071702,65.4270
57,2.375,17.311829,44.680641,0.071682,63.4667
58,2.4167,17.125627,43.161949,0.089225,63.0306
59,2.4583,17.217548,41.754164,0.082573,59.7740
60,2.5,16.151912,41.417905,0.087154,59.2075
61,2.5417,16.129094,40.477752,0.111908,58.1842
62,2.5833,16.270638,39.399638,0.119259,58.5096
63,2.625,16.742273,39.031554,0.103448,56.3098
64,2.6667,15.628264,41.215369,0.081888,55.0084
65,2.7083,14.817824,41.222186,0.104541,53.9583
66,2.75,13.251064,41.287362,0.108073,56.6675
67,2.7917,13.710646,41.259717,0.101929,58.5715
68,2.8333,14.071231,40.628748,0.094966,60.3055
69,2.875,13.167957,40.143277,0.113706,60.1243
70,2.9167,13.490699,40.948088,0.103301,61.0622
71,2.9583,14.008302,41.783320,0.088323,59.9867
72,3.0,14.112804,41.950603,0.080339,59.4601
