index,t,pair_mae,dest_mae,dest_ssim,luma
0,0.0,0.000000,54.780005,0.067692,66.6235
1,0.0417,11.139408,54.647656,0.071660,66.9392
2,0.0833,11.947496,54.916387,0.073789,68.4423
3,0.125,12.244275,54.506386,0.067601,67.4023
4,0.1667,12.484975,54.623729,0.061086,67.2524
5,0.2083,12.764938,54.664059,0.060376,67.0693
6,0.25,13.138878,54.730020,0.063132,66.7732
7,0.2917,13.321217,55.124018,0.062241,65.3162
8,0.3333,13.183563,55.277026,0.064921,64.7102
9,0.375,13.393494,54.851713,0.066044,63.1992
10,0.4167,13.706488,55.684970,0.063588,63.9858
11,0.4583,13.933681,55.564735,0.065395,62.2775
12,0.5,14.225209,55.991082,0.060845,61.8834
13,0.5417,14.218831,56.171447,0.058123,61.5314
14,0.5833,14.093233,56.448953,0.053110,60.7042
15,0.625,14.549368,57.019176,0.061142,59.4928
16,0.6667,14.350389,57.081835,0.063734,58.4067
17,0.7083,14.069985,56.567609,0.062524,56.2092
18,0.75,13.838991,56.724838,0.057044,56.1336
19,0.7917,13.804013,56.343199,0.042944,53.4010
20,0.8333,13.396162,55.841847,0.050777,51.9468
21,0.875,12.688341,55.240092,0.051126,50.4645
22,0.9167,12.527827,54.931976,0.047058,49.8449
23,0.9583,12.101117,55.033688,0.062186,48.4962
24,1.0,10.865215,55.315314,0.065518,48.7567
25,1.0417,10.420886,55.644685,0.064898,49.6255
26,1.0833,10.990792,55.636015,0.070111,51.9950
27,1.125,11.230201,56.034918,0.069812,52.3097
28,1.1667,11.324640,56.464069,0.072674,53.2769
29,1.2083,10.818708,56.228595,0.074565,53.0775
30,1.25,11.174386,55.846815,0.070042,53.2030
31,1.2917,11.568447,55.604208,0.077681,51.9328
32,1.3333,12.041299,55.795115,0.074341,52.0688
33,1.375,12.582960,55.794403,0.078611,52.1308
34,1.4167,12.752472,56.105522,0.075016,54.1358
35,1.4583,12.799509,56.318680,0.066052,53.7012
36,1.5,11.786383,56.131576,0.059046,53.2819
37,1.5417,10.836994,57.105041,0.058634,54.1901
38,1.5833,9.753639,56.780010,0.063788,54.2086
39,1.625,10.093700,56.731401,0.070235,53.1039
40,1.6667,10.359391,56.335738,0.076767,52.4979
41,1.7083,10.567356,55.934657,0.073230,51.6211
42,1.75,10.867429,55.372585,0.063671,52.0245
43,1.7917,11.347888,55.308302,0.066939,50.8185
44,1.8333,11.606600,55.117330,0.071738,50.5570
45,1.875,12.184041,54.915959,0.064974,50.4481
46,1.9167,12.871322,54.875021,0.060262,50.6302
47,1.9583,12.825128,55.369384,0.055380,49.5479
48,2.0,13.414116,55.888482,0.045909,48.9038
49,2.0417,13.744301,56.238411,0.055833,48.3344
50,2.0833,13.863458,55.956563,0.075662,49.1039
51,2.125,14.025478,55.803642,0.063898,47.4595
52,2.1667,14.170593,55.533033,0.065465,47.7815
53,2.2083,13.711594,54.770243,0.063608,48.0061
54,2.25,13.061304,54.666552,0.065028,49.5197
55,2.2917,12.815280,55.219583,0.069718,49.8859
56,2.3333,13.193338,55.723112,0.067191,50.8654
57,2.375,12.758138,55.808741,0.061148,51.2791
58,2.4167,13.289335,55.399230,0.060229,52.7131
59,2.4583,13.570943,55.216377,0.061311,51.5936
60,2.5,14.075107,54.865132,0.069708,51.6209
61,2.5417,14.174193,54.681320,0.076460,51.2111
62,2.5833,13.984644,54.818591,0.075183,51.9329
63,2.625,14.318267,55.420296,0.059625,51.4999
64,2.6667,14.515119,55.714727,0.041725,52.6325
65,2.7083,14.544476,55.766471,0.043005,53.8018
66,2.75,15.148329,55.248488,0.051699,56.6444
67,2.7917,15.413166,55.108730,0.066997,56.3067
68,2.8333,15.395914,55.080908,0.064465,57.5079
69,2.875,14.768980,54.943251,0.073348,58.7000
70,2.9167,15.345872,55.262798,0.071175,60.9356
71,2.9583,16.052900,55.226350,0.076334,60.8322
72,3.0,16.473974,55.070933,0.084699,62.0028
73,3.0417,16.305913,54.442432,0.087188,62.0595
74,3.0833,15.581472,53.933276,0.092298,62.8276
75,3.125,15.172932,53.037500,0.086525,60.6040
76,3.1667,14.793802,52.462589,0.093110,60.2985
77,3.2083,14.097285,51.888304,0.086279,58.8934
78,3.25,14.614844,50.882054,0.117981,59.0666
79,3.2917,12.727760,51.733023,0.110555,59.3663
80,3.3333,12.993267,52.811607,0.087900,60.8356
81,3.375,12.337495,53.114453,0.087024,61.6566
82,3.4167,11.647107,53.190267,0.083277,62.1542
83,3.4583,11.477303,52.815079,0.082972,60.7560
84,3.5,12.314656,52.644789,0.076591,60.0838
85,3.5417,12.509056,52.738526,0.082778,61.1061
86,3.5833,11.806733,52.655294,0.093677,61.6281
87,3.625,12.769162,52.780989,0.076978,60.2087
88,3.6667,13.495685,53.053527,0.078523,59.5262
89,3.7083,14.086599,53.230138,0.088332,58.8695
90,3.75,14.867233,53.292964,0.085882,59.2986
91,3.7917,15.586675,53.572246,0.085285,58.4135
92,3.8333,16.110067,54.819149,0.081561,59.7123
93,3.875,15.014074,55.092758,0.081769,59.9087
94,3.9167,13.986294,54.378446,0.077209,58.3727
95,3.9583,14.499512,52.645392,0.080898,54.0175
96,4.0,13.591766,52.357506,0.074037,51.8405
97,4.0417,12.837244,52.520977,0.082801,51.3226
98,4.0833,12.529430,52.995781,0.088705,52.3151
99,4.125,12.727279,53.456874,0.083830,50.9459
100,4.1667,12.940834,54.459649,0.071493,50.8196
101,4.2083,12.653642,54.120601,0.088600,49.7007
102,4.25,12.425864,54.145745,0.090407,49.1676
103,4.2917,12.245481,53.742536,0.087978,46.8405
104,4.3333,11.846168,54.028819,0.083713,45.6681
105,4.375,12.089904,54.042956,0.083657,45.1257
106,4.4167,11.866964,53.167695,0.092788,46.0663
107,4.4583,11.888278,53.236900,0.087485,44.3393
108,4.5,11.624488,53.710735,0.072462,44.5249
109,4.5417,10.989816,53.823582,0.081856,44.8533
110,4.5833,11.274206,53.789038,0.076765,45.8908
111,4.625,12.035346,54.220510,0.062913,45.8639
112,4.6667,12.370173,54.624021,0.067076,46.0107
113,4.7083,12.577256,54.821113,0.073573,45.8689
114,4.75,13.041058,54.404584,0.073586,46.5383
115,4.7917,13.126446,54.654104,0.070804,45.7265
116,4.8333,13.037228,54.512996,0.064843,46.5179
117,4.875,13.118682,54.427553,0.083875,46.8688
118,4.9167,13.854746,54.097462,0.081117,47.3582
119,4.9583,14.448340,54.265508,0.072697,46.2770
120,5.0,14.456840,54.281182,0.075460,46.4299
121,5.0417,14.086409,54.208803,0.078022,47.0309
122,5.0833,14.908639,53.337550,0.080624,50.0968
123,5.125,15.042447,53.437427,0.089596,49.4677
124,5.1667,15.074005,53.131133,0.093924,51.0020
125,5.2083,14.552133,53.064113,0.085004,52.0398
126,5.25,15.270027,52.986913,0.093427,53.6081
127,5.2917,14.277308,53.282762,0.094250,53.7760
128,5.3333,13.255052,54.014938,0.087604,54.6281
129,5.375,12.618745,54.127245,0.098090,55.3129
130,5.4167,13.018233,53.957070,0.080552,57.1837
131,5.4583,12.905556,53.543995,0.087289,56.4573
132,5.5,12.952686,53.364435,0.082326,57.1241
133,5.5417,12.646355,52.566805,0.083418,58.5007
